N,model,method,bias,rmse,coverage,interval_length
500,logistic,OLS,-0.296,0.457,0.846,1.3143
500,logistic,Linear_old,-0.3977,0.5419,0.362,0.6016
500,logistic,LASSO,0.3206,0.4484,0.884,1.3745
500,logistic,RF,0.1149,0.3723,0.906,1.2272
500,logistic,Net,0.1428,0.4411,0.936,1.644
500,truncated_logistic,OLS,-0.2646,0.3682,0.832,1.0224
500,truncated_logistic,Linear_old,-0.3026,0.3957,0.518,0.63
500,truncated_logistic,LASSO,0.0776,0.271,0.984,1.2112
500,truncated_logistic,RF,0.0371,0.2619,0.988,1.2051
500,truncated_logistic,Net,0.0449,0.266,0.99,1.2377
500,truncated_adv,OLS,-0.2555,0.3634,0.842,1.0309
500,truncated_adv,Linear_old,-0.2973,0.3939,0.508,0.6295
500,truncated_adv,LASSO,0.107,0.2788,0.98,1.2141
500,truncated_adv,RF,0.056,0.2636,0.982,1.2061
500,truncated_adv,Net,0.0662,0.2686,0.986,1.243
1000,logistic,OLS,-0.2766,0.364,0.81,0.9328
1000,logistic,Linear_old,-0.374,0.4493,0.264,0.4264
1000,logistic,LASSO,0.3092,0.3803,0.81,0.9899
1000,logistic,RF,0.0923,0.4466,0.896,1.1087
1000,logistic,Net,0.1003,0.5689,0.922,1.9129
1000,truncated_logistic,OLS,-0.2605,0.3178,0.716,0.7243
1000,truncated_logistic,Linear_old,-0.2969,0.349,0.324,0.4468
1000,truncated_logistic,LASSO,0.0799,0.2028,0.972,0.8556
1000,truncated_logistic,RF,0.0421,0.1926,0.98,0.8517
1000,truncated_logistic,Net,0.0485,0.1959,0.982,0.867
1000,truncated_adv,OLS,-0.2477,0.3063,0.746,0.7298
1000,truncated_adv,Linear_old,-0.2872,0.3398,0.37,0.4462
1000,truncated_adv,LASSO,0.113,0.2169,0.962,0.8575
1000,truncated_adv,RF,0.0641,0.1978,0.976,0.853
1000,truncated_adv,Net,0.0712,0.2005,0.972,0.8701
2000,logistic,OLS,-0.2669,0.3185,0.654,0.6601
2000,logistic,Linear_old,-0.3633,0.406,0.114,0.3021
2000,logistic,LASSO,0.3149,0.3495,0.6,0.7032
2000,logistic,RF,0.0832,1.2872,0.89,1.5884
2000,logistic,Net,0.0663,0.9206,0.944,3.0052
2000,truncated_logistic,OLS,-0.2433,0.2782,0.542,0.5114
2000,truncated_logistic,Linear_old,-0.2796,0.3108,0.162,0.3163
2000,truncated_logistic,LASSO,0.0928,0.1603,0.952,0.6057
2000,truncated_logistic,RF,0.054,0.1404,0.966,0.6055
2000,truncated_logistic,Net,0.0556,0.1425,0.966,0.6139
2000,truncated_adv,OLS,-0.2315,0.2679,0.572,0.5152
2000,truncated_adv,Linear_old,-0.2711,0.3029,0.2,0.3158
2000,truncated_adv,LASSO,0.1247,0.1793,0.922,0.6071
2000,truncated_adv,RF,0.0754,0.1488,0.954,0.6062
2000,truncated_adv,Net,0.0742,0.1483,0.964,0.6165
